yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2019,1,13,15,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,15,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,16,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,16,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,17,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,17,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,18,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,18,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,19,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,19,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,20,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,20,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,21,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,21,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,22,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,22,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,23,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,23,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,0,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,0,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,1,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,1,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,2,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,2,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,3,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,3,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,4,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,4,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,5,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,5,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,6,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,6,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,7,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,7,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,8,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,8,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,9,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,9,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,10,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,10,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,11,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,11,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,12,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,12,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,13,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,13,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,14,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,14,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,15,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,15,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,16,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,16,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,17,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,17,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,18,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,18,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,19,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,19,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,20,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,20,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,21,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,21,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,22,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,22,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,23,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,14,23,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,0,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,0,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,1,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,1,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,2,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,2,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,3,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,3,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,4,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,4,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,5,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,5,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,6,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,6,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,7,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,7,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,8,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,8,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,9,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,9,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,10,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,10,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,11,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,11,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,12,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,12,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,13,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,13,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,14,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,14,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,15,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,15,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,16,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,16,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,17,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,17,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,18,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,18,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,19,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,19,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,20,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,20,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,21,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,21,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,22,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,22,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,23,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,15,23,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,0,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,0,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,1,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,1,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,2,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,2,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,3,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,3,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,4,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,4,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,5,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,5,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,6,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,6,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,7,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,7,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,8,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,8,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,9,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,9,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,10,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,10,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,11,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,11,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,12,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,16,12,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
