date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
2019-05-17,0.78631496,0.5540969,0.49311686,2.263111,0.5001458,-0.42407775,0.35420683,0.5992779
2019-05-18,0.7874661,0.5602134,0.49678445,2.3385432,0.5073036,-0.42690605,0.3551951,0.6014852
2019-05-19,0.78864473,0.56633276,0.5004337,2.4197795,0.5149502,-0.43066406,0.35602093,0.6036787
2019-05-20,0.7898446,0.5724541,0.50406426,2.5055754,0.5229749,-0.4351593,0.35673103,0.6058531
2019-05-21,0.7910593,0.5785765,0.5076757,2.5946867,0.53126687,-0.44019935,0.35737216,0.6080031
2019-05-22,0.79228264,0.5846992,0.5112677,2.6858687,0.53971535,-0.44559175,0.357991,0.6101232
2019-05-23,0.7935082,0.5908213,0.51484,2.7778764,0.54820955,-0.4511441,0.35863438,0.6122082
2019-05-24,0.7947296,0.59694207,0.51839215,2.8694656,0.5566388,-0.45666397,0.35934898,0.6142526
2019-05-25,0.79594064,0.6030604,0.5219238,2.9593916,0.5648922,-0.46195886,0.36018157,0.61625123
2019-05-26,0.797135,0.6091757,0.5254346,3.0464096,0.57285905,-0.46683636,0.36117885,0.6181986
2019-05-27,0.7983062,0.61528695,0.5289243,3.129275,0.5804286,-0.4711041,0.3623876,0.6200893
2019-05-28,0.79944813,0.6213934,0.53239244,3.2067435,0.5874901,-0.4745695,0.36385453,0.62191814
2019-05-29,0.80055434,0.6274941,0.53583866,3.2775702,0.59393275,-0.47704026,0.3656264,0.62367964
2019-05-30,0.8016185,0.6335883,0.5392627,3.3405108,0.5996458,-0.47832385,0.36774993,0.62536854
2019-05-31,0.8026344,0.6396751,0.5426642,3.3943202,0.6045185,-0.47822788,0.37027186,0.6269794
2019-06-01,0.8035956,0.64575356,0.5460427,3.4377544,0.60844004,-0.4765599,0.37323895,0.62850696
2019-06-02,0.79123914,0.6364075,0.5360793,3.3548253,0.6021371,-0.45433044,0.37768838,0.62958914
2019-06-03,0.7669525,0.61177325,0.5133815,3.1617036,0.5870852,-0.4153252,0.38299268,0.6303784
2019-06-04,0.7527051,0.5951791,0.49883828,3.055382,0.5792973,-0.3935145,0.3867017,0.63164127
2019-06-05,0.7546329,0.59182495,0.4978609,3.0941834,0.58282197,-0.3972735,0.38866237,0.63383144
2019-06-06,0.7631349,0.59095526,0.50123054,3.1945632,0.5903346,-0.41072947,0.390345,0.6367808
2019-06-07,0.77657473,0.5919647,0.50789154,3.340712,0.6007884,-0.4314811,0.39173466,0.64032245
2019-06-08,0.793316,0.5942484,0.51678807,3.516821,0.6131364,-0.45712706,0.39281622,0.6442897
2019-06-09,0.8117224,0.5972011,0.5268644,3.7070804,0.6263318,-0.4852661,0.39357468,0.64851576
2019-06-10,0.8301575,0.60021776,0.53706485,3.8956816,0.6393276,-0.5134968,0.393995,0.6528338
2019-06-11,0.8469851,0.6026932,0.54633373,4.0668154,0.651077,-0.539418,0.39406207,0.65707713
2019-06-12,0.8605687,0.6040223,0.5536152,4.2046723,0.660533,-0.5606282,0.39376095,0.66107893
2019-06-13,0.86927205,0.6036,0.55785364,4.293443,0.6666488,-0.5747262,0.39307657,0.66467243
2019-06-14,0.8714587,0.6008212,0.5579933,4.3173194,0.6683775,-0.5793107,0.39199385,0.6676909
2019-06-15,0.8682119,0.59366333,0.55198544,4.2807794,0.6666616,-0.57550454,0.39062947,0.6699286
2019-06-16,0.8627244,0.58240867,0.540893,4.2119026,0.6636681,-0.56801677,0.38914713,0.6714098
2019-06-17,0.85652393,0.56990933,0.52832776,4.1302795,0.66018677,-0.55982566,0.38760242,0.672312
2019-06-18,0.8511383,0.5590175,0.5179014,4.0555005,0.65700746,-0.55390924,0.38605097,0.6728131
2019-06-19,0.8480953,0.5525852,0.5132257,4.0071573,0.65492,-0.5532457,0.38454834,0.6730908
2019-06-20,0.8484347,0.5568333,0.51768804,4.0059648,0.6547832,-0.55724907,0.38328177,0.6723024
2019-06-21,0.85111994,0.57135147,0.52908134,4.0429463,0.65622467,-0.56267303,0.38229057,0.6697928
2019-06-22,0.8545647,0.5890449,0.5426256,4.0931535,0.65818715,-0.56850505,0.38140848,0.6660207
2019-06-23,0.85718256,0.6028189,0.55354065,4.131637,0.6596133,-0.57373285,0.38046926,0.66144496
