date,Tmed,Tmin,Tmax,Osc.,Prec.,TH,PAcum,TS
2019-11-11,-2.461666666666664,-3.769999999999982,-0.75,3.019999999999982,0.0020833333333333333,-2.6982568029110037,984.4770833333333,-2.4499999999999886
2019-11-12,-1.4393750000000007,-3.6200000000000045,0.12999999999999545,3.75,0.043750000000000004,-1.650357272665565,989.1270833333333,-2.259999999999991
2019-11-13,3.275625000000004,0.08999999999997499,4.850000000000023,4.760000000000048,0.30416666666666664,3.1655088628202015,981.93125,3.6000000000000227
2019-11-14,5.373749999999995,1.0,8.360000000000014,7.360000000000014,0.2520833333333333,5.2741129753158305,979.1854166666667,5.939999999999998
2019-11-15,0.3189583333333381,-1.0,1.6200000000000045,2.6200000000000045,0.0,-0.14508983822773505,998.0520833333334,0.3199999999999932
2019-11-16,-1.9862500000000043,-2.569999999999993,-1.1100000000000136,1.4599999999999795,0.0,-2.185012089964005,996.88125,-1.6800000000000068
2019-11-17,2.781874999999998,-1.5500000000000114,5.779999999999973,7.329999999999984,0.13125,2.6658678327756533,990.3333333333334,1.3000000000000114
2019-11-18,3.979583333333334,3.0500000000000114,5.7900000000000205,2.740000000000009,0.012500000000000002,3.828253369290204,997.2729166666667,3.1299999999999955
2019-11-19,4.25166666666667,3.3700000000000045,4.860000000000014,1.490000000000009,0.0375,4.070017886163355,995.69375,4.560000000000002
2019-11-20,4.827500000000004,4.199999999999989,5.430000000000007,1.2300000000000182,0.004651162790697674,4.6754504018152785,1001.7416666666667,4.240000000000009
2019-11-21,2.349791666666661,0.6200000000000045,4.689999999999998,4.069999999999993,0.0,2.069426757092893,1006.475,2.5600000000000023
2019-11-22,0.1650000000000015,-1.75,1.6100000000000136,3.3600000000000136,0.0020833333333333333,-0.2838834431415068,1003.5270833333334,1.25
2019-11-23,-1.9302083333333364,-3.019999999999982,-1.2099999999999795,1.8100000000000023,0.0,-2.579935232019485,1001.96875,-1.5400000000000205
